# x86 instruction set description version 0.2, 2023-03-05
# Based on Intel Instruction Set Reference #325383-078US, December 2022.
# https://golang.org/x/arch/x86/x86spec
"ADDPS xmm1, xmm2/m128","ADDPS xmm2/m128, xmm1","addps xmm2/m128, xmm1","NP 0F 58 /r","V","V","SSE","","","","","Add packed single precision floating-point values from xmm2/m128 to xmm1 and store result in xmm1."
"ADDSD xmm1, xmm2/m64","ADDSD xmm2/m64, xmm1","addsd xmm2/m64, xmm1","F2 0F 58 /r","V","V","SSE2","","","","","Add the low double precision floating-point value from xmm2/mem to xmm1 and store the result in xmm1."
"ADDSS xmm1, xmm2/m32","ADDSS xmm2/m32, xmm1","addss xmm2/m32, xmm1","F3 0F 58 /r","V","V","SSE","","","","","Add the low single precision floating-point value from xmm2/mem to xmm1 and store the result in xmm1."
"ADDSUBPD xmm1, xmm2/m128","ADDSUBPD xmm2/m128, xmm1","addsubpd xmm2/m128, xmm1","66 0F D0 /r","V","V","SSE3","","","","","Add/subtract double precision floating-point values from xmm2/m128 to xmm1."
"ADDSUBPS xmm1, xmm2/m128","ADDSUBPS xmm2/m128, xmm1","addsubps xmm2/m128, xmm1","F2 0F D0 /r","V","V","SSE3","","","","","Add/subtract single precision floating-point values from xmm2/m128 to xmm1."
"ADOX r32, r/m32","ADOXL r/m32, r32","adoxl r/m32, r32","F3 0F 38 F6 /r","V","V","ADX","operand16,operand32","","Y","32","Unsigned addition of r32 with OF, r/m32 to r32, writes OF."
"ADOX r64, r/m64","ADOXQ r/m64, r64","adoxq r/m64, r64","F3 REX.W 0F 38 F6 /r","N.E.","V","ADX","","","Y","64","Unsigned addition of r64 with OF, r/m64 to r64, writes OF."
"AESDEC xmm1, xmm2/m128","AESDEC xmm2/m128, xmm1","aesdec xmm2/m128, xmm1","66 0F 38 DE /r","V","V","AES","","","","","Perform one round of an AES decryption flow, using the Equivalent Inverse Cipher, using one 128-bit data (state) from xmm1 with one 128-bit round key from xmm2/m128."
"AESDEC128KL xmm, m384","AESDEC128KL m384, xmm","aesdec128kl m384, xmm","F3 0F 38 DD !(11):rrr:bbb","V","V","AESKLE","","","","","Decrypt xmm using 128-bit AES key indicated by han- dle at m384 and store result in xmm."
"AESDEC256KL xmm, m512","AESDEC256KL m512, xmm","aesdec256kl m512, xmm","F3 0F 38 DF !(11):rrr:bbb","V","V","AESKLE","","","","","Decrypt xmm using 256-bit AES key indicated by han- dle at m512 and store result in xmm."
"AESDECLAST xmm1, xmm2/m128","AESDECLAST xmm2/m128, xmm1","aesdeclast xmm2/m128, xmm1","66 0F 38 DF /r","V","V","AES","","","","","Perform the last round of an AES decryption flow, using the Equivalent Inverse Cipher, using one 128-bit data (state) from xmm1 with one 128-bit round key from xmm2/m128."
"AESENC xmm1, xmm2/m128","AESENC xmm2/m128, xmm1","aesenc xmm2/m128, xmm1","66 0F 38 DC /r","V","V","AES","","","","","Perform one round of an AES encryption flow, using one 128-bit data (state) from xmm1 with one 128-bit round key from xmm2/m128."
"AESENC128KL xmm, m384","AESENC128KL m384, xmm","aesenc128kl m384, xmm","F3 0F 38 DC !(11):rrr:bbb","V","V","AESKLE","","","","","Encrypt xmm using 128-bit AES key indicated by han- dle at m384 and store result in xmm."
"AESENC256KL xmm, m512","AESENC256KL m512, xmm","aesenc256kl m512, xmm","F3 0F 38 DE !(11):rrr:bbb","V","V","AESKLE","","","","","Encrypt xmm using 256-bit AES key indicated by han- dle at m512 and store result in xmm."
"AESENCLAST xmm1, xmm2/m128","AESENCLAST xmm2/m128, xmm1","aesenclast xmm2/m128, xmm1","66 0F 38 DD /r","V","V","AES","","","","","Perform the last round of an AES encryption flow, using one 128-bit data (state) from xmm1 with one 128-bit round key from xmm2/m128."
"AESIMC xmm1, xmm2/m128","AESIMC xmm2/m128, xmm1","aesimc xmm2/m128, xmm1","66 0F 38 DB /r","V","V","AES","","","","","Perform the InvMixColumn transformation on a 128-bit round key from xmm2/m128 and store the result in xmm1."
"AESKEYGENASSIST xmm1, xmm2/m128, imm8","AESKEYGENASSIST imm8, xmm2/m128, xmm1","aeskeygenassist imm8, xmm2/m128, xmm1","66 0F 3A DF /r ib","V","V","AES","","","","","Assist in AES round key generation using an 8 bits Round Constant (RCON) specified in the immediate byte, operating on 128 bits of data specified in xmm2/m128 and stores the result in xmm1."
"AND AL, imm8","ANDB imm8, AL","andb imm8, AL","24 ib","V","V","","","","Y","8","AL AND imm8."
"AND AX, imm16","ANDW imm16, AX","andw imm16, AX","25 iw","V","V","","operand16","","Y","16","AX AND imm16."
"AND EAX, imm32","ANDL imm32, EAX","andl imm32, EAX","25 id","V","V","","operand32","","Y","32","EAX AND imm32."
"AND RAX, imm32","ANDQ imm32, RAX","andq imm32, RAX","REX.W 25 id","N.E.","V","","","","Y","64","RAX AND imm32 sign-extended to 64-bits."
"AND r/m16, imm16","ANDW imm16, r/m16","andw imm16, r/m16","81 /4 iw","V","V","","operand16","","Y","16","r/m16 AND imm16."
"AND r/m16, imm8","ANDW imm8, r/m16","andw imm8, r/m16","83 /4 ib","V","V","","operand16","","Y","16","r/m16 AND imm8 (sign-extended)."
"AND r/m16, r16","ANDW r16, r/m16","andw r16, r/m16","21 /r","V","V","","operand16","","Y","16","r/m16 AND r16."
"AND r/m32, imm32","ANDL imm32, r/m32","andl imm32, r/m32","81 /4 id","V","V","","operand32","","Y","32","r/m32 AND imm32."
"AND r/m32, imm8","ANDL imm8, r/m32","andl imm8, r/m32","83 /4 ib","V","V","","operand32","","Y","32","r/m32 AND imm8 (sign-extended)."
"AND r/m32, r32","ANDL r32, r/m32","andl r32, r/m32","21 /r","V","V","","operand32","","Y","32","r/m32 AND r32."
"AND r/m64, imm32","ANDQ imm32, r/m64","andq imm32, r/m64","REX.W 81 /4 id","N.E.","V","","","","Y","64","r/m64 AND imm32 sign extended to 64-bits."
"AND r/m64, imm8","ANDQ imm8, r/m64","andq imm8, r/m64","REX.W 83 /4 ib","N.E.","V","","","","Y","64","r/m64 AND imm8 (sign-extended)."
"AND r/m64, r64","ANDQ r64, r/m64","andq r64, r/m64","REX.W 21 /r","N.E.","V","","","","Y","64","r/m64 AND r32."
"AND r/m8, imm8","ANDB imm8, r/m8","andb imm8, r/m8","80 /4 ib","V","V","","","","Y","8","r/m8 AND imm8."
"AND r/m8, imm8","ANDB imm8, r/m8","andb imm8, r/m8","REX 80 /4 ib","N.E.","V","","pseudo64","","Y","8","r/m8 AND imm8."
"AND r/m8, r8","ANDB r8, r/m8","andb r8, r/m8","20 /r","V","V","","","","Y","8","r/m8 AND r8."
"AND r/m8, r8","ANDB r8, r/m8","andb r8, r/m8","REX 20 /r","N.E.","V","","pseudo64","","Y","8","r/m64 AND r8 (sign-extended)."
"AND r16, r/m16","ANDW r/m16, r16","andw r/m16, r16","23 /r","V","V","","operand16","","Y","16","r16 AND r/m16."
"AND r32, r/m32","ANDL r/m32, r32","andl r/m32, r32","23 /r","V","V","","operand32","","Y","32","r32 AND r/m32."
"AND r64, r/m64","ANDQ r/m64, r64","andq r/m64, r64","REX.W 23 /r","N.E.","V","","","","Y","64","r64 AND r/m64."
"AND r8, r/m8","ANDB r/m8, r8","andb r/m8, r8","22 /r","V","V","","","","Y","8","r8 AND r/m8."
"AND r8, r/m8","ANDB r/m8, r8","andb r/m8, r8","REX 22 /r","N.E.","V","","pseudo64","","Y","8","r/m64 AND r8 (sign-extended)."
"ANDN r32a, r32b, r/m32","ANDNL r/m32, r32b, r32a","andnl r/m32, r32b, r32a","VEX.LZ.0F38.W0 F2 /r","V","V","BMI1","","","Y","32","Bitwise AND of inverted r32b with r/m32, store result in r32a."
"ANDN r64a, r64b, r/m64","ANDNQ r/m64, r64b, r64a","andnq r/m64, r64b, r64a","VEX.LZ.0F38.W1 F2 /r","N.E.","V","BMI1","","","Y","64","Bitwise AND of inverted r64b with r/m64, store result in r64a."
"ANDNPD xmm1, xmm2/m128","ANDNPD xmm2/m128, xmm1","andnpd xmm2/m128, xmm1","66 0F 55 /r","V","V","SSE2","","","","","Return the bitwise logical AND NOT of packed double precision floating-point values in xmm1 and xmm2/mem."
"ANDNPS xmm1, xmm2/m128","ANDNPS xmm2/m128, xmm1","andnps xmm2/m128, xmm1","NP 0F 55 /r","V","V","SSE","","","","","Return the bitwise logical AND NOT of packed single precision floating-point values in xmm1 and xmm2/mem."
"ANDPD xmm1, xmm2/m128","ANDPD xmm2/m128, xmm1","andpd xmm2/m128, xmm1","66 0F 54 /r","V","V","SSE2","","","","","Return the bitwise logical AND of packed double precision floating-point values in xmm1 and xmm2/mem."
"ANDPS xmm1, xmm2/m128","ANDPS xmm2/m128, xmm1","andps xmm2/m128, xmm1","NP 0F 54 /r","V","V","SSE","","","","","Return the bitwise logical AND of packed single precision floating-point values in xmm1 and xmm2/mem."
"ARPL r/m16, r16","ARPL r16, r/m16","arpl r16, r/m16","63 /r","V","N.E.","","","","","","Adjust RPL of r/m16 to not less than RPL of r16."
"BEXTR r32a, r/m32, r32b","BEXTRL r32b, r/m32, r32a","bextrl r32b, r/m32, r32a","VEX.LZ.0F38.W0 F7 /r","V","V","BMI1","","","Y","32","Contiguous bitwise extract from r/m32 using r32b as control; store result in r32a."
"BEXTR r64a, r/m64, r64b","BEXTRQ r64b, r/m64, r64a","bextrq r64b, r/m64, r64a","VEX.LZ.0F38.W1 F7 /r","N.E.","V","BMI1","","","Y","64","Contiguous bitwise extract from r/m64 using r64b as control; store result in r64a."
"BLENDPD xmm1, xmm2/m128, imm8","BLENDPD imm8, xmm2/m128, xmm1","blendpd imm8, xmm2/m128, xmm1","66 0F 3A 0D /r ib","V","V","SSE4_1","","","","","Select packed double precision floating-point values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1."
"BLENDPS xmm1, xmm2/m128, imm8","BLENDPS imm8, xmm2/m128, xmm1","blendps imm8, xmm2/m128, xmm1","66 0F 3A 0C /r ib","V","V","SSE4_1","","","","","Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1."
"BLENDVPD xmm1, xmm2/m128, <XMM0>","BLENDVPD <XMM0>, xmm2/m128, xmm1","blendvpd <XMM0>, xmm2/m128, xmm1","66 0F 38 15 /r","V","V","SSE4_1","","","","","Select packed double precision floating-point values from xmm1 and xmm2 from mask specified in XMM0 and store the values in xmm1."
"BLENDVPS xmm1, xmm2/m128, <XMM0>","BLENDVPS <XMM0>, xmm2/m128, xmm1","blendvps <XMM0>, xmm2/m128, xmm1","66 0F 38 14 /r","V","V","SSE4_1","","","","","Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in XMM0 and store the values into xmm1."
"BLSI r32, r/m32","BLSIL r/m32, r32","blsil r/m32, r32","VEX.LZ.0F38.W0 F3 /3","V","V","BMI1","","","Y","32","Extract lowest set bit from r/m32 and set that bit in r32."
"BLSI r64, r/m64","BLSIQ r/m64, r64","blsiq r/m64, r64","VEX.LZ.0F38.W1 F3 /3","N.E.","V","BMI1","","","Y","64","Extract lowest set bit from r/m64, and set that bit in r64."
"BLSMSK r32, r/m32","BLSMSKL r/m32, r32","blsmskl r/m32, r32","VEX.LZ.0F38.W0 F3 /2","V","V","BMI1","","","Y","32","Set all lower bits in r32 to “1” starting from bit 0 to lowest set bit in r/m32."
"BLSMSK r64, r/m64","BLSMSKQ r/m64, r64","blsmskq r/m64, r64","VEX.LZ.0F38.W1 F3 /2","N.E.","V","BMI1","","","Y","64","Set all lower bits in r64 to “1” starting from bit 0 to lowest set bit in r/m64."
"BLSR r32, r/m32","BLSRL r/m32, r32","blsrl r/m32, r32","VEX.LZ.0F38.W0 F3 /1","V","V","BMI1","","","Y","32","Reset lowest set bit of r/m32, keep all other bits of r/m32 and write result to r32."
"BLSR r64, r/m64","BLSRQ r/m64, r64","blsrq r/m64, r64","VEX.LZ.0F38.W1 F3 /1","N.E.","V","BMI1","","","Y","64","Reset lowest set bit of r/m64, keep all other bits of r/m64 and write result to r64."
"BNDCL bnd, r/m32","BNDCL r/m32, bnd","bndcl r/m32, bnd","F3 0F 1A /r","V","N.E.","MPX","","","","","Generate a #BR if the address in r/m32 is lower than the lower bound in bnd.LB."
"BNDCL bnd, r/m64","BNDCL r/m64, bnd","bndcl r/m64, bnd","F3 0F 1A /r","N.E.","V","MPX","","","","","Generate a #BR if the address in r/m64 is lower than the lower bound in bnd.LB."
"BNDCN bnd, r/m32","BNDCN r/m32, bnd","bndcn r/m32, bnd","F2 0F 1B /r","V","N.E.","MPX","","","","","Generate a #BR if the address in r/m32 is higher than the upper bound in bnd.UB (bnb.UB not in 1's complement form)."
"BNDCN bnd, r/m64","BNDCN r/m64, bnd","bndcn r/m64, bnd","F2 0F 1B /r","N.E.","V","MPX","","","","","Generate a #BR if the address in r/m64 is higher than the upper bound in bnd.UB (bnb.UB not in 1's complement form)."
"BNDCU bnd, r/m32","BNDCU r/m32, bnd","bndcu r/m32, bnd","F2 0F 1A /r","V","N.E.","MPX","","","","","Generate a #BR if the address in r/m32 is higher than the upper bound in bnd.UB (bnb.UB in 1's complement form)."
"BNDCU bnd, r/m64","BNDCU r/m64, bnd","bndcu r/m64, bnd","F2 0F 1A /r","N.E.","V","MPX","","","","","Generate a #BR if the address in r/m64 is higher than the upper bound in bnd.UB (bnb.UB in 1's complement form)."
"BNDLDX bnd1, mib","BNDLDX mib, bnd1","bndldx mib, bnd1","NP 0F 1A /r","V","V","MPX","","w,r","","","Load the bounds stored in a bound table entry (BTE) into bnd with address translation using the base of mib and conditional on the index of mib matching the pointer value in the BTE."
"BNDMK bnd, m32","BNDMK m32, bnd","bndmk m32, bnd","F3 0F 1B /r","V","N.E.","MPX","","","","","Make lower and upper bounds from m32 and store them in bnd."
"BNDMK bnd, m64","BNDMK m64, bnd","bndmk m64, bnd","F3 0F 1B /r","N.E.","V","MPX","","","","","Make lower and upper bounds from m64 and store them in bnd."
"BNDMOV bnd1, bnd2/m128","BNDMOV bnd2/m128, bnd1","bndmov bnd2/m128, bnd1","66 0F 1A /r","N.E.","V","MPX","","","","","Move lower and upper bound from bnd2/m128 to bound register bnd1."
"BNDMOV bnd1, bnd2/m64","BNDMOV bnd2/m64, bnd1","bndmov bnd2/m64, bnd1","66 0F 1A /r","V","N.E.","MPX","","","","","Move lower and upper bound from bnd2/m64 to bound register bnd1."
"BNDMOV bnd1/m128, bnd2","BNDMOV bnd2, bnd1/m128","bndmov bnd2, bnd1/m128","66 0F 1B /r","N.E.","V","MPX","","","","","Move lower and upper bound from bnd2 to bound register bnd1/m128."
"BNDMOV bnd1/m64, bnd2","BNDMOV bnd2, bnd1/m64","bndmov bnd2, bnd1/m64","66 0F 1B /r","V","N.E.","MPX","","","","","Move lower and upper bound from bnd2 to bnd1/m64."
"BNDSTX mib, bnd1","BNDSTX bnd1, mib","bndstx bnd1, mib","NP 0F 1B /r","V","V","MPX","","r,r","","","Store the bounds in bnd and the pointer value in the index regis- ter of mib to a bound table entry (BTE) with address translation using the base of mib."
"BOUND r16, m16&16","BOUNDW m16&16, r16","boundw r16, m16&16","62 /r","V","I","","operand16","","Y","16","Check if r16 (array index) is within bounds specified by m16&16."
"BOUND r32, m32&32","BOUNDL m32&32, r32","boundl r32, m32&32","62 /r","V","I","","operand32","","Y","32","Check if r32 (array index) is within bounds specified by m32&32."
"BSF r16, r/m16","BSFW r/m16, r16","bsfw r/m16, r16","0F BC /r","V","V","","operand16","","Y","16","Bit scan forward on r/m16."
"BSF r32, r/m32","BSFL r/m32, r32","bsfl r/m32, r32","0F BC /r","V","V","","operand32","","Y","32","Bit scan forward on r/m32."
"BSF r64, r/m64","BSFQ r/m64, r64","bsfq r/m64, r64","REX.W 0F BC /r","N.E.","V","","","","Y","64","Bit scan forward on r/m64."
"BSR r16, r/m16","BSRW r/m16, r16","bsrw r/m16, r16","0F BD /r","V","V","","operand16","","Y","16","Bit scan reverse on r/m16."
"BSR r32, r/m32","BSRL r/m32, r32","bsrl r/m32, r32","0F BD /r","V","V","","operand32","","Y","32","Bit scan reverse on r/m32."
"BSR r64, r/m64","BSRQ r/m64, r64","bsrq r/m64, r64","REX.W 0F BD /r","N.E.","V","","","","Y","64","Bit scan reverse on r/m64."
"BSWAP r16op","BSWAPW r16op","bswap r16op","0F C8+rd","V","V","","operand16","rw","Y","16",""
"BSWAP r32","BSWAPL r32","bswap r32","0F C8+rd","V","V","","operand16,operand32","","Y","32","Reverses the byte order of a 32-bit register."
"BSWAP r64","BSWAPQ r64","bswap r64","REX.W 0F C8+rd","N.E.","V","","","","Y","64","Reverses the byte order of a 64-bit register."
"BT r/m16, imm8","BTW imm8, r/m16","btw imm8, r/m16","0F BA /4 ib","V","V","","operand16","","Y","16","Store selected bit in CF flag."
"BT r/m16, r16","BTW r16, r/m16","btw r16, r/m16","0F A3 /r","V","V","","operand16","","Y","16","Store selected bit in CF flag."
"BT r/m32, imm8","BTL imm8, r/m32","btl imm8, r/m32","0F BA /4 ib","V","V","","operand32","","Y","32","Store selected bit in CF flag."
"BT r/m32, r32","BTL r32, r/m32","btl r32, r/m32","0F A3 /r","V","V","","operand32","","Y","32","Store selected bit in CF flag."
"BT r/m64, imm8","BTQ imm8, r/m64","btq imm8, r/m64","REX.W 0F BA /4 ib","N.E.","V","","","","Y","64","Store selected bit in CF flag."
"BT r/m64, r64","BTQ r64, r/m64","btq r64, r/m64","REX.W 0F A3 /r","N.E.","V","","","","Y","64","Store selected bit in CF flag."
"BTC r/m16, imm8","BTCW imm8, r/m16","btcw imm8, r/m16","0F BA /7 ib","V","V","","operand16","","Y","16","Store selected bit in CF flag and complement."
"BTC r/m16, r16","BTCW r16, r/m16","btcw r16, r/m16","0F BB /r","V","V","","operand16","","Y","16","Store selected bit in CF flag and complement."
"BTC r/m32, imm8","BTCL imm8, r/m32","btcl imm8, r/m32","0F BA /7 ib","V","V","","operand32","","Y","32","Store selected bit in CF flag and complement."
"BTC r/m32, r32","BTCL r32, r/m32","btcl r32, r/m32","0F BB /r","V","V","","operand32","","Y","32","Store selected bit in CF flag and complement."
"BTC r/m64, imm8","BTCQ imm8, r/m64","btcq imm8, r/m64","REX.W 0F BA /7 ib","N.E.","V","","","","Y","64","Store selected bit in CF flag and complement."
"BTC r/m64, r64","BTCQ r64, r/m64","btcq r64, r/m64","REX.W 0F BB /r","N.E.","V","","","","Y","64","Store selected bit in CF flag and complement."
"BTR r/m16, imm8","BTRW imm8, r/m16","btrw imm8, r/m16","0F BA /6 ib","V","V","","operand16","","Y","16","Store selected bit in CF flag and clear."
"BTR r/m16, r16","BTRW r16, r/m16","btrw r16, r/m16","0F B3 /r","V","V","","operand16","","Y","16","Store selected bit in CF flag and clear."
"BTR r/m32, imm8","BTRL imm8, r/m32","btrl imm8, r/m32","0F BA /6 ib","V","V","","operand32","","Y","32","Store selected bit in CF flag and clear."
"BTR r/m32, r32","BTRL r32, r/m32","btrl r32, r/m32","0F B3 /r","V","V","","operand32","","Y","32","Store selected bit in CF flag and clear."
"BTR r/m64, imm8","BTRQ imm8, r/m64","btrq imm8, r/m64","REX.W 0F BA /6 ib","N.E.","V","","","","Y","64","Store selected bit in CF flag and clear."
"BTR r/m64, r64","BTRQ r64, r/m64","btrq r64, r/m64","REX.W 0F B3 /r","N.E.","V","","","","Y","64","Store selected bit in CF flag and clear."
"BTS r/m16, imm8","BTSW imm8, r/m16","btsw imm8, r/m16","0F BA /5 ib","V","V","","operand16","","Y","16","Store selected bit in CF flag and set."
"BTS r/m16, r16","BTSW r16, r/m16","btsw r16, r/m16","0F AB /r","V","V","","operand16","","Y","16","Store selected bit in CF flag and set."
"BTS r/m32, imm8","BTSL imm8, r/m32","btsl imm8, r/m32","0F BA /5 ib","V","V","","operand32","","Y","32","Store selected bit in CF flag and set."
"BTS r/m32, r32","BTSL r32, r/m32","btsl r32, r/m32","0F AB /r","V","V","","operand32","","Y","32","Store selected bit in CF flag and set."
